batch,loss,accuracy
1,130.405,0.000
2,60.305,0.008
3,36.966,0.000
4,22.343,0.004
5,15.896,0.000
6,12.547,0.000
7,10.245,0.000
8,8.458,0.000
9,7.727,0.008
10,7.767,0.004
11,7.153,0.008
12,6.930,0.004
13,6.713,0.008
14,6.771,0.008
15,6.640,0.012
16,6.617,0.008
17,6.503,0.004
18,6.507,0.004
19,6.489,0.004
20,6.384,0.023
21,6.391,0.004
22,6.261,0.020
23,6.230,0.004
24,6.291,0.008
25,6.298,0.008
26,6.210,0.000
27,6.107,0.004
28,6.039,0.008
29,6.079,0.000
30,6.004,0.008
31,6.000,0.000
32,5.836,0.004
33,5.899,0.016
34,5.906,0.008
35,5.760,0.008
36,5.757,0.000
37,5.671,0.000
38,5.661,0.016
39,5.588,0.023
40,5.625,0.016
41,5.743,0.008
42,5.608,0.000
43,5.517,0.016
44,5.535,0.012
45,5.537,0.004
46,5.615,0.000
47,5.543,0.004
48,5.547,0.004
49,5.488,0.023
50,5.494,0.004
51,5.428,0.012
52,5.605,0.000
53,5.468,0.008
54,5.465,0.012
55,5.422,0.008
56,5.348,0.004
57,5.403,0.027
58,5.319,0.008
59,5.340,0.012
60,5.432,0.020
61,5.512,0.000
62,5.201,0.020
63,5.337,0.020
64,5.453,0.008
65,5.299,0.004
66,5.410,0.008
67,5.280,0.004
68,5.266,0.023
69,5.321,0.008
70,5.396,0.020
71,5.277,0.012
72,5.307,0.008
73,5.274,0.031
74,5.229,0.020
75,5.241,0.027
76,5.284,0.035
77,5.349,0.020
78,5.351,0.023
79,5.272,0.016
80,5.270,0.016
81,5.275,0.016
82,5.274,0.016
83,5.291,0.012
84,5.341,0.008
85,5.217,0.012
86,5.252,0.008
87,5.196,0.027
88,5.250,0.016
89,5.193,0.008
90,5.132,0.008
91,5.297,0.012
92,5.164,0.012
93,5.165,0.043
94,5.240,0.020
95,5.167,0.016
96,5.242,0.031
97,5.238,0.023
98,5.191,0.016
99,5.185,0.027
100,5.211,0.016
101,5.222,0.023
102,5.158,0.016
103,5.253,0.008
104,5.303,0.020
105,5.229,0.016
106,5.373,0.008
107,5.250,0.016
108,5.120,0.004
109,5.199,0.012
110,5.254,0.012
111,5.216,0.031
112,5.183,0.016
113,5.105,0.027
114,5.270,0.012
115,5.079,0.016
116,5.170,0.023
117,5.268,0.020
118,5.159,0.023
119,5.099,0.027
120,5.221,0.039
121,5.109,0.023
122,5.100,0.035
123,5.137,0.012
124,5.305,0.027
125,5.142,0.012
126,5.171,0.012
127,5.195,0.012
128,5.078,0.039
129,5.122,0.031
130,5.109,0.020
131,5.144,0.023
132,5.109,0.020
133,5.141,0.047
134,5.223,0.027
135,5.176,0.043
136,5.131,0.016
137,5.043,0.035
138,5.108,0.035
139,5.043,0.047
140,5.118,0.020
141,5.027,0.035
142,5.160,0.043
143,5.207,0.020
144,5.057,0.020
145,5.139,0.035
146,5.065,0.027
147,5.161,0.012
148,4.917,0.031
149,5.055,0.027
150,5.104,0.027
151,5.034,0.035
152,5.107,0.027
153,5.078,0.039
154,5.154,0.027
155,5.064,0.027
156,5.140,0.016
157,5.035,0.035
158,5.080,0.023
159,5.133,0.035
